home_ownership,annual_inc,purpose,inq_last_6mths,open_acc
RENT,30000,debt_consolidation,1,4
RENT,15000,credit_card,2,11
RENT,42000,home_improvement,2,14
MORTGAGE,92000,credit_card,0,8
RENT,60000,debt_consolidation,1,7
MORTGAGE,100000,debt_consolidation,0,17
MORTGAGE,55000,debt_consolidation,1,9
RENT,30000,debt_consolidation,0,7
RENT,44544,debt_consolidation,1,10
RENT,68000,credit_card,1,9
RENT,62000,credit_card,0,10
RENT,85000,credit_card,2,14
RENT,38000,debt_consolidation,0,6
RENT,75000,credit_card,0,9
MORTGAGE,126000,debt_consolidation,0,17
RENT,52000,debt_consolidation,0,10
MORTGAGE,87000,home_improvement,0,12
RENT,25000,credit_card,0,6
OWN,30000,debt_consolidation,1,8
RENT,225000,debt_consolidation,0,11
RENT,42000,debt_consolidation,3,12
RENT,70000,debt_consolidation,1,10
RENT,30000,credit_card,0,7
MORTGAGE,129000,debt_consolidation,0,10
MORTGAGE,140000,home_improvement,1,13
RENT,50000,debt_consolidation,0,10
MORTGAGE,52500,moving,2,14
MORTGAGE,120000,debt_consolidation,3,7
MORTGAGE,53000,home_improvement,1,5
RENT,71000,credit_card,2,15
MORTGAGE,50700,other,0,10
MORTGAGE,65000,debt_consolidation,0,10
MORTGAGE,75000,debt_consolidation,1,13
RENT,43000,credit_card,0,13
OWN,40000,home_improvement,3,7
RENT,40000,credit_card,1,7
RENT,75000,debt_consolidation,2,9
RENT,84000,debt_consolidation,0,8
MORTGAGE,62000,debt_consolidation,0,10
RENT,32000,credit_card,0,11
RENT,45000,debt_consolidation,1,21
RENT,53004,other,2,3
RENT,65000,credit_card,2,15
RENT,36000,debt_consolidation,1,9
MORTGAGE,63000,debt_consolidation,1,12
MORTGAGE,68400,debt_consolidation,0,5
MORTGAGE,54000,debt_consolidation,1,10
RENT,40000,debt_consolidation,1,7
MORTGAGE,47000,credit_card,0,7
RENT,17000,other,3,10
RENT,75000,debt_consolidation,2,10
MORTGAGE,46000,home_improvement,0,12
MORTGAGE,45000,debt_consolidation,1,7
RENT,72500,credit_card,0,7
RENT,40000,debt_consolidation,0,6
RENT,30120,debt_consolidation,0,8
MORTGAGE,135000,debt_consolidation,1,11
RENT,51871,debt_consolidation,0,5
RENT,75000,home_improvement,2,19
RENT,51000,debt_consolidation,0,8
RENT,51204,debt_consolidation,0,16
RENT,42996,debt_consolidation,1,3
OWN,62691,major_purchase,0,5
RENT,49110.32,debt_consolidation,2,10
RENT,68500,credit_card,1,12
RENT,37000,other,1,8
OWN,75000,debt_consolidation,1,9
OWN,31000,debt_consolidation,1,5
RENT,60000,debt_consolidation,2,7
MORTGAGE,72800,credit_card,0,12
RENT,61000,debt_consolidation,1,10
MORTGAGE,42000,renewable_energy,0,3
RENT,40000,other,0,27
MORTGAGE,110000,credit_card,0,10
RENT,57000,debt_consolidation,1,10
RENT,110000,credit_card,2,9
RENT,37500,debt_consolidation,3,12
RENT,83954,debt_consolidation,0,12
MORTGAGE,77400,credit_card,0,14
RENT,64424,other,0,9
RENT,30000,debt_consolidation,0,11
RENT,41500,credit_card,1,8
MORTGAGE,75000,debt_consolidation,0,19
MORTGAGE,45696,debt_consolidation,0,10
MORTGAGE,123000,credit_card,0,10
RENT,83000,debt_consolidation,1,9
RENT,58000,debt_consolidation,1,10
MORTGAGE,40000,debt_consolidation,2,8
RENT,65000,credit_card,2,8
MORTGAGE,63000,debt_consolidation,0,13
RENT,38000,credit_card,1,7
OWN,30000,credit_card,0,4
OWN,80000,credit_card,0,7
RENT,56000,debt_consolidation,1,8
MORTGAGE,60000,debt_consolidation,0,12
RENT,78000,debt_consolidation,1,12
RENT,120000,small_business,0,13
RENT,40000,debt_consolidation,2,6
RENT,35000,debt_consolidation,0,6
MORTGAGE,53000,debt_consolidation,1,8
RENT,60000,debt_consolidation,1,7
RENT,70000,credit_card,1,13
MORTGAGE,45500,credit_card,0,7
RENT,68000,debt_consolidation,0,19
RENT,26004,debt_consolidation,0,3
RENT,100000,debt_consolidation,0,9
RENT,45000,credit_card,1,4
RENT,48000,debt_consolidation,1,9
RENT,160000,credit_card,2,10
MORTGAGE,60000,home_improvement,3,8
MORTGAGE,59000,credit_card,3,7
MORTGAGE,81800,debt_consolidation,0,9
RENT,75000,debt_consolidation,0,6
MORTGAGE,110000,small_business,1,17
MORTGAGE,88824,other,0,8
MORTGAGE,103000,credit_card,2,13
RENT,43000,credit_card,0,6
OWN,38000,debt_consolidation,1,15
RENT,50000,credit_card,1,7
RENT,85000,debt_consolidation,0,8
RENT,19240,debt_consolidation,1,6
RENT,75000,home_improvement,1,7
RENT,46330,debt_consolidation,1,7
RENT,54329,debt_consolidation,1,11
RENT,30000,medical,0,6
MORTGAGE,72000,debt_consolidation,1,12
RENT,28500,debt_consolidation,0,6
OWN,40000,credit_card,0,10
OWN,57000,debt_consolidation,1,13
RENT,27050,credit_card,3,7
MORTGAGE,92496,other,0,14
RENT,62000,debt_consolidation,0,18
MORTGAGE,65000,credit_card,1,10
RENT,90000,major_purchase,2,11
RENT,46000,debt_consolidation,0,13
RENT,30000,debt_consolidation,1,12
RENT,40800,debt_consolidation,0,9
RENT,47840,debt_consolidation,1,8
OWN,42240,credit_card,0,15
RENT,90000,debt_consolidation,1,3
MORTGAGE,47840,debt_consolidation,2,11
RENT,90000,other,1,6
MORTGAGE,44720,debt_consolidation,0,8
MORTGAGE,93500,credit_card,0,10
MORTGAGE,72000,wedding,0,8
OWN,48000,debt_consolidation,0,12
RENT,42000,credit_card,1,8
MORTGAGE,95000,debt_consolidation,0,8
RENT,35000,debt_consolidation,0,7
RENT,24000,debt_consolidation,1,5
MORTGAGE,73600,debt_consolidation,0,11
RENT,50000,credit_card,3,8
RENT,47000,car,0,3
RENT,71000,debt_consolidation,0,4
RENT,40000,debt_consolidation,0,7
MORTGAGE,65000,small_business,0,8
OWN,99000,home_improvement,2,5
MORTGAGE,56004,home_improvement,1,6
RENT,30000,debt_consolidation,1,8
RENT,54000,debt_consolidation,2,8
MORTGAGE,42000,debt_consolidation,3,18
OWN,28944,debt_consolidation,2,5
OWN,79768,major_purchase,2,6
RENT,52000,debt_consolidation,0,7
MORTGAGE,90000,credit_card,1,14
MORTGAGE,70000,debt_consolidation,0,13
MORTGAGE,62352,car,0,9
RENT,35000,credit_card,0,6
RENT,87500,moving,0,5
RENT,42000,other,0,8
RENT,46440,small_business,0,4
OWN,107800,debt_consolidation,2,9
MORTGAGE,112000,home_improvement,3,10
MORTGAGE,57200,home_improvement,0,5
MORTGAGE,65000,debt_consolidation,1,10
MORTGAGE,46200,debt_consolidation,0,9
RENT,45000,debt_consolidation,0,5
MORTGAGE,55000,debt_consolidation,1,10
RENT,39600,debt_consolidation,0,7
RENT,43000,debt_consolidation,2,9
RENT,36000,debt_consolidation,1,4
RENT,33000,debt_consolidation,0,7
RENT,24000,debt_consolidation,0,10
MORTGAGE,158000,home_improvement,0,18
RENT,80000,debt_consolidation,0,13
RENT,48000,debt_consolidation,0,4
MORTGAGE,40000,major_purchase,0,4
MORTGAGE,117000,debt_consolidation,1,12
MORTGAGE,100000,debt_consolidation,4,16
RENT,54000,debt_consolidation,1,10
MORTGAGE,42000,debt_consolidation,0,9
RENT,50000,debt_consolidation,0,8
RENT,180000,small_business,1,5
RENT,75000,credit_card,0,17
RENT,30000,major_purchase,1,7
RENT,110000,debt_consolidation,1,8
RENT,65000,debt_consolidation,0,6
MORTGAGE,108060,credit_card,2,11
MORTGAGE,90960,debt_consolidation,1,9
RENT,15600,moving,0,4
MORTGAGE,30000,debt_consolidation,0,6
MORTGAGE,48000,debt_consolidation,0,7
RENT,33000,debt_consolidation,0,9
RENT,58947,debt_consolidation,0,9
RENT,11340,debt_consolidation,0,9
OWN,37000,credit_card,0,7
RENT,30000,other,0,7
OWN,95000,vacation,2,13
RENT,84500,debt_consolidation,1,8
RENT,48879,debt_consolidation,3,8
MORTGAGE,55000,debt_consolidation,1,12
MORTGAGE,45000,car,1,7
MORTGAGE,85000,credit_card,0,7
RENT,130000,debt_consolidation,0,11
OWN,17280,debt_consolidation,0,7
RENT,19000,debt_consolidation,1,8
