home_ownership,annual_inc,purpose,inq_last_6mths,open_acc
RENT,30000,debt_consolidation,1,4
n/a,15000,,2,
"",42000,n/a,2,
MORTGAGE,92000,credit_card,0,8
RENT,60000,,1,
MORTGAGE,1e+05,debt_consolidation,0,17
MORTGAGE,55000,debt_consolidation,1,
 ,30000,debt_consolidation,0,7
RENT,44544,debt_consolidation,1,10
RENT,68000,"",1,9
RENT,62000,credit_card,0,
RENT,85000,credit_card,2,14
RENT,38000,n/a,0,6
RENT,75000,credit_card,0,9
MORTGAGE,126000,debt_consolidation,0,17
RENT,52000,debt_consolidation,0,10
MORTGAGE,87000,home_improvement,0,12
RENT,25000,"",0,6
OWN,30000,debt_consolidation,1,8
n/a,225000,n/a,0,
RENT,,debt_consolidation,3,
RENT,70000,debt_consolidation,1,10
"",30000,credit_card,0,7
"",129000,debt_consolidation,,10
MORTGAGE,140000,home_improvement,1,13
RENT,50000,debt_consolidation,0,
MORTGAGE,52500,moving,2,14
MORTGAGE,120000,debt_consolidation,3,7
MORTGAGE,53000,n/a,1,5
RENT,71000,credit_card,2,
MORTGAGE,,n/a,0,
MORTGAGE,65000, ,0,
MORTGAGE,75000,debt_consolidation,,13
,43000,n/a,0,13
n/a,40000,home_improvement,3,7
RENT,40000,credit_card,1,7
RENT,75000,n/a,,
RENT,84000,debt_consolidation,0,8
MORTGAGE,62000,debt_consolidation,0,
RENT,32000,credit_card,0,11
,,,1,
RENT,53004,other,2,3
RENT,65000, ,2,15
RENT,36000,debt_consolidation,,9
MORTGAGE,63000,debt_consolidation,1,12
MORTGAGE,,debt_consolidation,0,
MORTGAGE,54000,debt_consolidation,1,
RENT,40000,,1,7
MORTGAGE,,credit_card,0,
RENT,17000,other,3,
"",,debt_consolidation,2,
MORTGAGE,46000,n/a,0,12
n/a,45000,debt_consolidation,,7
RENT,72500,credit_card,0,7
RENT,40000,debt_consolidation,0,
RENT,30120,debt_consolidation,0,8
,135000,debt_consolidation,1,11
RENT,51871,debt_consolidation,0,5
RENT,75000,home_improvement,,
RENT,51000,n/a,0,8
RENT,51204,,0,
RENT,42996,,1,
OWN,62691,major_purchase,0,5
 ,49110.32,n/a,2,10
RENT,68500,credit_card,,12
RENT,37000, ,1,8
OWN,75000,"",1,9
OWN,,debt_consolidation,1,
RENT,60000, ,2,
n/a,72800,n/a,0,
RENT,,debt_consolidation,1,10
MORTGAGE,42000,renewable_energy,0,
RENT,40000,other,0,27
MORTGAGE,110000,credit_card,,10
n/a,,debt_consolidation,1,10
RENT,110000,credit_card,2,
RENT,37500,debt_consolidation,3,12
RENT,83954,debt_consolidation,,12
MORTGAGE,,n/a,0,14
RENT,64424,other,0,9
RENT,30000,n/a,0,11
RENT,41500,,1,8
 ,75000,,,19
n/a,45696,debt_consolidation,0,10
MORTGAGE,123000,credit_card,0,10
"",83000,"",1,9
RENT,58000,debt_consolidation,1,
MORTGAGE,,debt_consolidation,2,8
n/a,65000,credit_card,2,8
MORTGAGE,63000,n/a,0,13
RENT,,,1,7
"",30000,credit_card,0,
 ,80000,,,7
RENT,56000,debt_consolidation,1,8
MORTGAGE,60000,debt_consolidation,0,12
RENT,,debt_consolidation,1,
RENT,120000,small_business,0,13
 ,,debt_consolidation,2,
RENT,35000,,0,6
n/a,53000,n/a,1,8
 ,60000,"",1,
RENT,,credit_card,1,13
 ,45500, ,0,
RENT,68000,debt_consolidation,0,19
RENT,,debt_consolidation,0,
RENT,1e+05,debt_consolidation,0,9
RENT,,credit_card,1,4
RENT,48000,debt_consolidation,1,9
RENT,160000,credit_card,2,10
,60000,home_improvement,3,8
 ,59000,credit_card,3,
MORTGAGE,81800,debt_consolidation,0,9
n/a,75000,debt_consolidation,0,6
n/a,,,,
MORTGAGE,88824,other,0,
MORTGAGE,103000,,2,
RENT,43000,credit_card,0,6
OWN,38000,debt_consolidation,,15
RENT,,credit_card,1,7
RENT,85000,debt_consolidation,0,8
RENT,19240, ,1,6
RENT,75000,home_improvement,1,7
RENT,46330,debt_consolidation,1,7
RENT,,debt_consolidation,1,11
RENT,30000,medical,0,6
MORTGAGE,72000,debt_consolidation,1,12
 ,28500,debt_consolidation,0,
OWN,40000,credit_card,0,10
OWN,,debt_consolidation,1,13
RENT,,credit_card,3,
MORTGAGE,92496,,0,14
 ,,debt_consolidation,0,18
MORTGAGE,65000,,1,10
RENT,90000,major_purchase,2,11
RENT,46000,debt_consolidation,0,
 ,30000,debt_consolidation,1,12
RENT,40800,debt_consolidation,0,
"",47840,,1,
OWN,,credit_card,0,15
RENT,,debt_consolidation,1,3
MORTGAGE,47840,,2,11
RENT,90000,n/a,1,6
 ,44720,debt_consolidation,0,8
MORTGAGE,93500,,0,
MORTGAGE,72000,wedding,0,8
OWN,48000,debt_consolidation,0,12
